title,description,text,date,language
Liquid Avatar to Join Apex Comics Group Presentation at Comic-Con @Home,"Liquid Avatar and Apex creates Open Call for Artists to create icons for Liquid Avatar MarketplaceTORONTO, CANADA / ACCESSWIRE / July 23, 2020 / KABN Systems NA Holdings Corp.","Liquid Avatar and Apex creates Open Call for Artists to create icons for Liquid Avatar MarketplaceTORONTO, CANADA / ACCESSWIRE / July 23, 2020 / KABN Systems NA Holdings Corp. (CSE:KABN) (the ""Compan… [+9173 chars]",2020-07-23,en
"COVID-19 ICT (AI, Big Data, Deep Learning, Homecare IT, Contact Tracing, E-Health, Blockchain Technologies, PACS, Teleradiology, Other ICT) Market Boom. Up To $68 Billion* per Annum","HSRC announces the publication of its research report, COVID-19 ICT (AI, Big Data, Deep Learning, Homecare IT, Contact Tracing, E-Health, Blockchain, PACS, Teleradiology) Market - 2020-2024. According to the report, the booming COVID-19 related ICT market wil…","WASHINGTON, June 29, 2020 /PRNewswire/ -- HSRC announces the publication of its research report, COVID-19 ICT (AI, Big Data, Deep Learning, Homecare IT, Contact Tracing, E-Health, Blockchain, PACS, T… [+10412 chars]",2020-06-29,en
HIVE Blockchain Continues Increasing Bitcoin Mining Power Through Additional Purchase of Next Generation Miners for Green Energy-Powered Quebec Facility,"HIVE Blockchain Technologies Ltd. (TSX.V: HIVE) (OTCQX: HVBTF) (FSE: HBF) (the ""Company"" or ""HIVE"") is pleased to announce that it has ordered 200 Bitmain Antminer S17e 60 Terahash per second (TH/s) SHA 256 mining machines as it continues to scale up next gen…","VANCOUVER, BC, July 6, 2020 /PRNewswire/ - HIVE Blockchain Technologies Ltd. (TSX.V: HIVE) (OTCQX: HVBTF) (FSE: HBF) (the ""Company"" or ""HIVE"") is pleased to announce that it has ordered 200 Bitmain A… [+6527 chars]",2020-07-06,en
Walmart Canada Announces Major $3.5 Billion Investment For Growth And Customer Experience Transformation,"MISSISSAUGA, ON, July 20, 2020 /CNW/ - Walmart Canada is announcing a major $3.5 billion investment over the next five years aimed to generate significant growth and to make the online and in-store shopping experience simpler, faster and more convenient for W…","<ul><li>Significantly expanding ""omni"" capacity
</li><li>Creating ""smarter stores"" with new technology
</li><li>Two new state-of-the art distribution centres
</li><li>Hundreds of construction and … [+6744 chars]",2020-07-20,en
"The Global Blockchain in Energy Market is expected to grow from USD 524.22 Million in 2019 to USD 4,830.84 Million by the end of 2025 at a Compound Annual Growth Rate (CAGR) of 44.79%","Read the full report: https://www.reportlinker.com/p05913641/?utm_source=PRN The Global Blockchain in Energy Market is expected to grow from USD 524.22 Million in 2019 to USD 4,830.84 Million by the end of 2025 at a Compound Annual Growth Rate (CAGR) of 44.79…","Blockchain in Energy Market Research Report by Component (Platform and Services), by Type (Private and Public), by End-User, by Application - Global Forecast to 2025 - Cumulative Impact of COVID-19
… [+5686 chars]",2020-07-06,en
"The Global Blockchain IoT Market is expected to grow from USD 258.90 Million in 2019 to USD 2,389.55 Million by the end of 2025 at a Compound Annual Growth Rate (CAGR) of 44.83%","Read the full report: https://www.reportlinker.com/p05913642/?utm_source=PRN The Global Blockchain IoT Market is expected to grow from USD 258.90 Million in 2019 to USD 2,389.55 Million by the end of 2025 at a Compound Annual Growth Rate (CAGR) of 44.83%.Mark…","Blockchain IoT Market Research Report by Offering (Hardware, Infrastructure Provider, and Software), by Application (Asset Tracking and Management, Data Communication, Data Security, and Smart Contra… [+5768 chars]",2020-07-06,en
"Blockchain Technology in Healthcare Market Research Report by Function, by End User - Global Forecast to 2025 - Cumulative Impact of COVID-19","Read the full report: https://www.reportlinker.com/p05913643/?utm_source=PRN The Global Blockchain Technology in Healthcare Market is expected to grow from USD 5,475.81 Million in 2019 to USD 38,747.63 Million by the end of 2025 at a Compound Annual Growth Ra…","Blockchain Technology in Healthcare Market Research Report by Function (Claims Adjudication &amp; Billing Management, Clinical Data Exchange &amp; Interoperability, and Supply Chain Management), by E… [+5952 chars]",2020-07-06,en
"The Global Blockchain-as-a-Service Market is expected to grow from USD 755.34 Million in 2019 to USD 9,334.19 Million by the end of 2025 at a Compound Annual Growth Rate (CAGR) of 52.05%","Read the full report: https://www.reportlinker.com/p05913644/?utm_source=PRN The Global Blockchain-as-a-Service Market is expected to grow from USD 755.34 Million in 2019 to USD 9,334.19 Million by the end of 2025 at a Compound Annual Growth Rate (CAGR) of 52…","Blockchain-as-a-Service Market Research Report by End User (Banking, Financial Services, and Insurance (BFSI), Chemical, Electronics, Energy and Utility, and Healthcare and Life Sciences) - Global Fo… [+5572 chars]",2020-07-06,en
The Valens Company Announces Participation in First-of-its-Kind Real-World Evidence Study on Medical Cannabis Led by the University Health Network in Partnership with Shoppers Drug Mart,"The Valens Company Inc. (TSX: VLNS) (OTCQX: VLNCF) (the ""Company"" or ""The Valens Company""), a global leader in the end-to-end development and manufacturing of innovative, cannabinoid-based products, today announced its participation in a Medical Cannabis Real…","KELOWNA, BC, July 13, 2020 /PRNewswire/ - The Valens Company Inc.
(TSX: VLNS) (OTCQX: VLNCF) (the ""Company"" or ""The Valens Company""), a global leader in the end-to-end development and manufacturing … [+8355 chars]",2020-07-13,en
Senate Moves Closer To Digital Dollar,"On June 30th, the Senate Banking Committee held a hearing on the possibility of the digital dollar.","On June 30th, 2020, the Senate Banking Committee held a hearing on the future of the digital dollar. The pressures to create a digital USD are mounting as China recently began testing its own digital… [+3842 chars]",2020-07-01,en
La plus grande vente aux enchères d'art au monde visant à soulager les effets de la Covid va se conclure sur une allocution du pionnier du Bitcoin,"Brock Pierce va s'exprimer en direct sur ArtandCo.net le 27 juin, alors que le nombre de personnes infectées dans le monde atteint 10 millions LONDRES, 29 juin 2020 /PRNewswire/ -- Art&Co., la plus grande vente aux enchères en ligne au monde visant à soutenir…","Brock Pierce va s'exprimer en direct sur ArtandCo.net le 27 juin, alors que le nombre de personnes infectées dans le monde atteint 10 millions
LONDRES, 29 juin 2020 /PRNewswire/ -- Art&amp;Co., la p… [+5837 chars]",2020-06-28,fr
